First_Word,Second_Word,Probability
okay,lets,0.11931818181818182
lets,see,0.04727272727272727
see,i,0.058823529411764705
i,want,0.32339368122115725
want,to,0.6586306653809064
to,go,0.13512518409425625
go,to,0.351129363449692
to,a,0.029455081001472753
a,thai,0.02270577105014191
thai,restaurant,0.16589861751152074
restaurant,with,0.021136063408190225
with,less,0.015151515151515152
less,than,0.8634146341463415
than,ten,0.2537688442211055
ten,dollars,0.46706586826347307
dollars,per,0.0423728813559322
per,person,0.75
person,i,0.16666666666666666
i,like,0.02875399361022364
like,to,0.7761780104712042
to,eat,0.280559646539028
eat,at,0.049338146811071
at,lunch,0.030837004405286344
lunch,time,0.020356234096692113
time,so,0.0625
so,that,0.019801980198019802
that,would,0.020202020202020204
would,be,0.05375
be,eleven,0.0026246719160104987
eleven,a__m,1.0
a__m,to,0.5
to,one,0.0022091310751104565
one,p__m,0.024193548387096774
p__m,i,0.1111111111111111
i,dont,0.08093716719914804
dont,want,0.356
to,walk,0.010677466863033874
walk,for,0.07042253521126761
for,more,0.001488095238095238
more,than,0.37254901960784315
than,five,0.16834170854271358
five,minutes,0.22727272727272727
minutes,tell,0.03424657534246575
tell,me,0.986870897155361
me,more,0.1759656652360515
more,about,0.30392156862745096
about,the,0.12359550561797752
the,na,0.0008920606601248885
na,nakapan,0.006896551724137931
nakapan,restaurant,0.18181818181818182
restaurant,on,0.03963011889035667
on,martin,0.004761904761904762
martin,luther,1.0
luther,king,1.0
king,i,0.18181818181818182
a,hamburger,0.014191106906338695
hamburger,restaurant,0.08333333333333333
restaurant,lets,0.009247027741083224
lets,start,0.7127272727272728
start,again,0.06533575317604355
again,i,0.10967741935483871
to,get,0.014727540500736377
get,a,0.27358490566037735
hamburger,at,0.041666666666666664
at,an,0.00881057268722467
an,american,0.08053691275167785
american,restaurant,0.12101910828025478
restaurant,id,0.013210039630118891
id,like,0.9723502304147466
eat,dinner,0.05776173285198556
dinner,and,0.0189873417721519
and,i,0.14705882352941177
dont,mind,0.056
mind,walking,0.2
walking,for,0.014705882352941176
for,half,0.001488095238095238
half,an,0.2647058823529412
an,hour,0.16778523489932887
hour,i,0.12
to,spend,0.0857879234167894
spend,more,0.11858974358974358
dollars,for,0.022598870056497175
for,a,0.16071428571428573
hamburger,tell,0.041666666666666664
the,two,0.0008920606601248885
two,barbecue,0.0125
barbecue,restaurants,0.0625
restaurants,you,0.01293103448275862
you,listed,0.0017889087656529517
listed,tell,0.3333333333333333
me,about,0.30257510729613735
about,everett,0.000864304235090752
everett,and,1.0
and,jones,0.008823529411764706
jones,barbecue,1.0
barbecue,flints,0.03125
flints,barbecue,1.0
barbecue,and,0.03125
and,the,0.04411764705882353
the,thai,0.01159678858162355
thai,barbecue,0.07834101382488479
barbecue,please,0.03125
please,wheres,0.0035211267605633804
wheres,the,0.5
the,best,0.025869759143621766
best,place,0.08108108108108109
place,to,0.152317880794702
get,soup,0.018867924528301886
soup,in,0.16666666666666666
in,berkeley,0.2786458333333333
berkeley,wheres,0.00641025641025641
berkeley,for,0.01282051282051282
for,lunch,0.16964285714285715
lunch,for,0.015267175572519083
for,under,0.005952380952380952
under,ten,0.3170731707317073
dollars,with,0.0014124293785310734
with,a,0.15151515151515152
a,ten,0.001892147587511826
ten,minute,0.0029940119760479044
minute,walk,0.2727272727272727
walk,what,0.014084507042253521
what,types,0.006896551724137931
types,of,0.75
of,food,0.19507186858316222
food,do,0.016773162939297124
do,you,0.737012987012987
you,understand,0.008944543828264758
understand,i,0.07692307692307693
want,indian,0.01639344262295082
indian,food,0.5867346938775511
food,and,0.01757188498402556
i,have,0.038338658146964855
have,chucks,0.0013422818791946308
chucks,car,1.0
car,so,0.3877551020408163
so,i,0.297029702970297
i,can,0.03017394391196308
can,drive,0.015418502202643172
drive,in,0.037037037037037035
